"filename", "language", "JSON", "Properties", "Markdown", "XML", "JavaScript", "SCSS", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\theoa\projects\graduate-front-end\.env", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\theoa\projects\graduate-front-end\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\theoa\projects\graduate-front-end\package-lock.json", "JSON", 21134, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21135
"c:\Users\theoa\projects\graduate-front-end\package.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\theoa\projects\graduate-front-end\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\theoa\projects\graduate-front-end\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\theoa\projects\graduate-front-end\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\theoa\projects\graduate-front-end\src\App.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 0, 1, 9, 66
"c:\Users\theoa\projects\graduate-front-end\src\App.scss", "SCSS", 0, 0, 0, 0, 0, 7, 0, 0, 12, 3, 22
"c:\Users\theoa\projects\graduate-front-end\src\App.test.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\AboutUsPage\AboutUsPageComponent.js", "JavaScript", 0, 0, 0, 0, 73, 0, 0, 0, 45, 3, 121
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\AboutUsPage\AboutUsPageComponent.scss", "SCSS", 0, 0, 0, 0, 0, 37, 0, 0, 1, 6, 44
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\ContactUsPage\ContactUsPageComponent.js", "JavaScript", 0, 0, 0, 0, 94, 0, 0, 0, 3, 13, 110
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\ContactUsPage\ContactUsPageComponent.scss", "SCSS", 0, 0, 0, 0, 0, 44, 0, 0, 4, 6, 54
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\ContentWrapper\ContentWrapperComponent.js", "JavaScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 9, 76
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\ContentWrapper\ContentWrapperStyles.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 6, 3, 15
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\ContentWrapper\ContentWrapperStyles.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 4, 4, 27
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\HomePage\CardComponent.js", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\HomePage\CarouselAnimation.js", "JavaScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\HomePage\HomePageComponent.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\HomePage\HomePageStyles.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 1, 4, 17
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\HomePage\HomePageStyles.scss", "SCSS", 0, 0, 0, 0, 0, 63, 0, 0, 3, 12, 78
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\LoginPage\AuthContext.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\LoginPage\EmailVerificationStyles.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 16, 2, 39
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\LoginPage\EmailVerify.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\LoginPage\ForgotPasswordPage.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\LoginPage\LoginWrapperComponent.js", "JavaScript", 0, 0, 0, 0, 114, 0, 0, 0, 12, 11, 137
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\LoginPage\LoginWrapperComponent.scss", "SCSS", 0, 0, 0, 0, 0, 48, 0, 0, 3, 11, 62
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\LoginPage\PasswordPage.scss", "SCSS", 0, 0, 0, 0, 0, 36, 0, 0, 1, 6, 43
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\LoginPage\PasswordResetPage.js", "JavaScript", 0, 0, 0, 0, 49, 0, 0, 0, 2, 8, 59
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\RegisterPages\RegisterComponent.scss", "SCSS", 0, 0, 0, 0, 0, 49, 0, 0, 4, 9, 62
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\RegisterPages\RegisterOldUserComponent.js", "JavaScript", 0, 0, 0, 0, 157, 0, 0, 0, 30, 14, 201
"c:\Users\theoa\projects\graduate-front-end\src\components\Content\RegisterPages\RegisterVolunteerComponent.js", "JavaScript", 0, 0, 0, 0, 155, 0, 0, 0, 31, 15, 201
"c:\Users\theoa\projects\graduate-front-end\src\components\Dashboard\AdminDashboard\AdminDashboard.js", "JavaScript", 0, 0, 0, 0, 135, 0, 0, 0, 2, 9, 146
"c:\Users\theoa\projects\graduate-front-end\src\components\Dashboard\AdminDashboard\AdminDashboard.scss", "SCSS", 0, 0, 0, 0, 0, 9893, 0, 0, 34, 1786, 11713
"c:\Users\theoa\projects\graduate-front-end\src\components\Dashboard\DashboardButtons\AppointmentsList.js", "JavaScript", 0, 0, 0, 0, 209, 0, 0, 0, 36, 24, 269
"c:\Users\theoa\projects\graduate-front-end\src\components\Dashboard\DashboardButtons\Button.scss", "SCSS", 0, 0, 0, 0, 0, 10175, 0, 0, 60, 1837, 12072
